Time(s),Voltage(V),Current(A),Cycle,Step,Status,isValid,Resistance(Ohm)
0.0,0.00013,0.0107918,1,1,Measuring,True,0.012046183213180376
0.1,0.02003,0.0105055,1,1,Measuring,True,1.9066203417257628
0.2,0.03153,0.0088248,1,1,Measuring,True,3.572885504487354
0.3,0.05765,0.0098864,1,1,Measuring,True,5.8312429195662725
0.4,0.07208,0.0087381,1,1,Measuring,True,8.248932834369027
0.5,0.09159,0.008501,1,1,Measuring,True,10.774026585107634
0.6,0.10314,0.0081606,1,1,Measuring,True,12.638776560547017
0.7,0.1307,0.0071439,1,1,Idle,False,18.29532888198323
0.8,0.14147,0.0063979,1,1,Measuring,True,22.11194298129074
0.9,0.14705,0.0060727,1,1,Measuring,True,24.214929108963062
1.0,0.16447,0.0051397,1,1,Measuring,True,31.99992217444598
1.1,0.17826,0.0045177,1,1,Measuring,True,39.45813135002324
1.2,0.17828,0.0029184,1,1,Measuring,True,61.08826754385965
1.3,0.18954,0.0025887,1,1,Measuring,True,73.21821763819676
1.4,0.18643,0.0017529,1,1,Measuring,True,106.35518283986538
1.5,0.20104,0.0003288,1,1,Measuring,True,611.4355231143552
1.6,0.19835,-0.0013956,1,1,Measuring,True,-142.12525078819144
1.7,0.19883,-0.0015173,1,1,Measuring,True,-131.04198246885915
1.8,0.20061,-0.0028686,1,1,Measuring,True,-69.93306839573312
1.9,0.19081,-0.00415,1,1,Idle,False,-45.97831325301205
2.0,0.18471,-0.0044262,1,1,Measuring,True,-41.73105598481768
2.1,0.17188,-0.004612,1,1,Measuring,True,-37.26799653078925
2.2,0.15305,-0.0055803,1,1,Measuring,True,-27.42684085085031
2.3,0.15109,-0.0069424,1,1,Measuring,True,-21.76336713528463
2.4,0.1425,-0.0069247,1,1,Idle,False,-20.578508816266407
2.5,0.1247,-0.0092201,1,1,Measuring,True,-13.524799080270279
2.6,0.09695,-0.0085053,1,1,Measuring,True,-11.398774881544448
2.7,0.08868,-0.0094083,1,1,Measuring,True,-9.425719843117248
2.8,0.07097,-0.0094805,1,1,Measuring,True,-7.485892094298825
2.9,0.0486,-0.0099107,1,1,Measuring,True,-4.903790852311138
3.0,0.02818,-0.0090253,1,1,Measuring,True,-3.122333883638217
3.1,0.0066,-0.0100768,1,1,Measuring,True,-0.6549698316926008
3.2,-0.01111,-0.0100102,1,1,Measuring,True,1.1098679347065992
3.3,-0.02412,-0.0097401,1,1,Measuring,True,2.476360612314042
3.4,-0.05126,-0.0093376,1,1,Measuring,True,5.489633310486635
3.5,-0.06603,-0.008989,1,1,Measuring,True,7.345644676827233
3.6,-0.09098,-0.0088427,1,1,Measuring,True,10.288712723489432
3.7,-0.10022,-0.0087624,1,1,Measuring,True,11.437505706199214
3.8,-0.11226,-0.0082141,1,1,Measuring,True,13.666743769859144
3.9,-0.13912,-0.0072431,1,1,Measuring,True,19.207245516422525
4.0,-0.15908,-0.0064793,1,1,Measuring,True,24.55203494204621
4.1,-0.16462,-0.0065735,1,1,Measuring,True,25.04297558378337
4.2,-0.17063,-0.0047673,1,1,Measuring,True,35.79174794957313
4.3,-0.1915,-0.0036632,1,1,Measuring,True,52.27669796898886
4.4,-0.18658,-0.0037444,1,1,Measuring,True,49.82907808994765
4.5,-0.19217,-0.0020782,1,1,Measuring,True,92.4694447117698
4.6,-0.20295,-0.001681,1,1,Idle,False,120.73170731707317
4.7,-0.18895,-0.0002781,1,1,Measuring,True,679.4318590435096
4.8,-0.20418,0.0006989,1,1,Measuring,True,-292.1447989698097
4.9,-0.19321,0.0016351,1,1,Measuring,True,-118.16402666503578
